Bait	Prey	#Rep	AvgP	BFDR
A4	A0A183	4	0.1411	0.5677
C10	A0A183	4	0.0458	0.6101
homo+DMSO	A0A183	4	0.2470	0.5283
HSPB7	A0A183	4	0.2455	0.5297
iPS_C10	A0A183	4	0.0185	0.6198
iPS_K22	A0A183	4	0.2446	0.5302
iPS_P9	A0A183	4	0.3269	0.4216
iPS_WTc11	A0A183	4	0.3450	0.4123
K22	A0A183	4	0.2297	0.5377
P9	A0A183	4	0.2468	0.5285
RBM20	A0A183	1	0.9990	0.0001
TetOn-BAG3	A0A183	4	0.0536	0.6062
A4	A0AVT1	4	0.2500	0.4623
homo+Bort	A0AVT1	4	0.2500	0.4623
HSPB7	A0AVT1	4	0.2500	0.4623
iPS_WTc11	A0AVT1	4	0.2498	0.5214
K22	A0AVT1	4	0.2500	0.4623
P9	A0AVT1	4	0.2496	0.5233
A4	A0PJW8	4	0.4939	0.3340
C10	A0PJW8	4	0.6245	0.2066
homo+Bort	A0PJW8	4	0.5217	0.2812
homo+DMSO	A0PJW8	4	0.5163	0.2845
HSPB7	A0PJW8	4	0.5259	0.2779
iPS_A4	A0PJW8	4	0.6084	0.2178
iPS_C10	A0PJW8	4	0.5402	0.2671
iPS_K22	A0PJW8	4	0.6423	0.1961
iPS_P9	A0PJW8	4	0.6239	0.2068
iPS_WTc11	A0PJW8	4	0.3727	0.3968
K22	A0PJW8	4	0.4632	0.3500
P9	A0PJW8	4	0.5620	0.2503
RBM20	A0PJW8	1	0.8051	0.0614
TetOn-BAG3	A0PJW8	4	0.6054	0.2196
C10	A1A4G5	4	0.0015	0.6250
K22	A1A4G5	4	0.0588	0.6034
P9	A1A4G5	4	0.1361	0.5697
TetOn-BAG3	A1A4G5	4	0.0230	0.6185
A4	A1L390	4	0.4213	0.3705
C10	A1L390	4	0.3286	0.4208
homo+Bort	A1L390	4	0.4620	0.3505
homo+DMSO	A1L390	4	0.2500	0.4623
HSPB7	A1L390	4	0.2439	0.5308
iPS_A4	A1L390	4	0.2500	0.4623
iPS_C10	A1L390	4	0.2499	0.5199
iPS_K22	A1L390	4	0.2500	0.4623
iPS_P9	A1L390	4	0.2354	0.5351
iPS_WTc11	A1L390	4	0.2464	0.5289
K22	A1L390	4	0.2489	0.5256
P9	A1L390	4	0.3346	0.4176
RBM20	A1L390	1	0.0918	0.5867
TetOn-BAG3	A1L390	4	0.2429	0.5317
A4	A1X283	4	0.2500	0.4623
homo+Bort	A1X283	4	0.2500	0.4623
iPS_C10	A1X283	4	0.2500	0.4623
iPS_P9	A1X283	4	0.2500	0.4623
iPS_WTc11	A1X283	4	0.2500	0.4623
P9	A1X283	4	0.2500	0.4623
TetOn-BAG3	A1X283	4	0.2500	0.4623
A4	A2PYH4	4	0.0007	0.6253
C10	A2PYH4	4	0.0758	0.5932
homo+Bort	A2PYH4	4	0.0086	0.6227
homo+DMSO	A2PYH4	4	0.0026	0.6246
HSPB7	A2PYH4	4	0.0551	0.6054
iPS_A4	A2PYH4	4	0.0229	0.6186
iPS_C10	A2PYH4	4	0.0176	0.6201
iPS_K22	A2PYH4	4	0.0012	0.6251
iPS_P9	A2PYH4	4	0.0218	0.6188
iPS_WTc11	A2PYH4	4	0.0012	0.6251
K22	A2PYH4	4	0.0538	0.6061
P9	A2PYH4	4	0.0317	0.6159
RBM20	A2PYH4	1	0.2276	0.5383
TetOn-BAG3	A2PYH4	4	0.0101	0.6223
C10	A2RUC4	4	0.5000	0.2946
homo+Bort	A2RUC4	4	0.2500	0.4623
homo+DMSO	A2RUC4	4	0.2500	0.4623
HSPB7	A2RUC4	4	0.2500	0.4623
iPS_P9	A2RUC4	4	0.2500	0.4623
K22	A2RUC4	4	0.2500	0.4623
A4	A3KMH1	4	0.2500	0.4623
C10	A3KMH1	4	0.5000	0.2946
homo+Bort	A3KMH1	4	0.2500	0.4623
homo+DMSO	A3KMH1	4	0.2500	0.4623
iPS_C10	A3KMH1	4	0.2099	0.5457
K22	A3KMH1	4	0.2500	0.4623
iPS_A4	A4D0S4	4	0.2500	0.4623
iPS_C10	A4D0S4	4	0.2500	0.4623
iPS_P9	A4D0S4	4	0.2500	0.4623
iPS_WTc11	A4D0S4	4	0.2500	0.4623
TetOn-BAG3	A4D0S4	4	0.2500	0.4623
A4	A4UGR9	4	0.2523	0.4615
C10	A4UGR9	4	0.5842	0.2335
homo+Bort	A4UGR9	4	0.5659	0.2472
homo+DMSO	A4UGR9	4	0.2601	0.4576
HSPB7	A4UGR9	4	0.5379	0.2688
iPS_A4	A4UGR9	4	0.5834	0.2339
iPS_C10	A4UGR9	4	0.6009	0.2233
iPS_K22	A4UGR9	4	0.3217	0.4246
iPS_P9	A4UGR9	4	0.5562	0.2555
iPS_WTc11	A4UGR9	4	0.4043	0.3793
K22	A4UGR9	4	0.1868	0.5536
P9	A4UGR9	4	0.3697	0.3985
RBM20	A4UGR9	1	0.2237	0.5397
TetOn-BAG3	A4UGR9	4	0.4999	0.3244
A4	A5D8V7	4	0.0533	0.6063
C10	A5D8V7	4	0.0521	0.6069
homo+Bort	A5D8V7	4	0.0625	0.6008
homo+DMSO	A5D8V7	4	0.0875	0.5883
HSPB7	A5D8V7	4	0.2514	0.4618
iPS_A4	A5D8V7	4	0.0374	0.6134
iPS_C10	A5D8V7	4	0.1858	0.5540
iPS_K22	A5D8V7	4	0.1110	0.5788
iPS_P9	A5D8V7	4	0.0593	0.6031
iPS_WTc11	A5D8V7	4	0.0691	0.5963
K22	A5D8V7	4	0.0782	0.5920
P9	A5D8V7	4	0.2470	0.5283
RBM20	A5D8V7	1	0.6297	0.2033
TetOn-BAG3	A5D8V7	4	0.0352	0.6144
A4	A6NCN2	4	0.1014	0.5827
C10	A6NCN2	4	0.3054	0.4341
homo+Bort	A6NCN2	4	0.0397	0.6126
HSPB7	A6NCN2	4	0.1247	0.5735
iPS_C10	A6NCN2	4	0.2971	0.4386
iPS_K22	A6NCN2	4	0.2500	0.4623
K22	A6NCN2	4	0.2270	0.5386
P9	A6NCN2	4	0.2359	0.5350
A4	A6NEC2	4	0.1023	0.5824
C10	A6NEC2	4	0.1028	0.5821
homo+Bort	A6NEC2	4	0.0580	0.6037
homo+DMSO	A6NEC2	4	0.1062	0.5809
HSPB7	A6NEC2	4	0.0662	0.5984
iPS_C10	A6NEC2	4	0.0440	0.6108
iPS_K22	A6NEC2	4	0.0600	0.6025
iPS_P9	A6NEC2	4	0.0520	0.6070
iPS_WTc11	A6NEC2	4	0.0627	0.6006
K22	A6NEC2	4	0.0933	0.5862
P9	A6NEC2	4	0.0641	0.5998
RBM20	A6NEC2	1	0.2593	0.4582
TetOn-BAG3	A6NEC2	4	0.0437	0.6108
A4	A6NEE1	4	0.2500	0.4623
homo+DMSO	A6NEE1	4	0.2500	0.4623
HSPB7	A6NEE1	4	0.2500	0.4623
iPS_A4	A6NEE1	4	0.5000	0.2946
iPS_C10	A6NEE1	4	0.2500	0.4623
iPS_K22	A6NEE1	4	0.2500	0.4623
iPS_P9	A6NEE1	4	0.2500	0.4623
K22	A6NEE1	4	0.2500	0.4623
P9	A6NEE1	4	0.2500	0.4623
TetOn-BAG3	A6NEE1	4	0.5000	0.2946
A4	A6NEM1	4	0.0426	0.6113
C10	A6NEM1	4	0.1370	0.5694
P9	A6NEM1	4	0.2374	0.5343
A4	A6NFF2	4	0.4448	0.3583
homo+Bort	A6NFF2	4	0.4046	0.3791
homo+DMSO	A6NFF2	4	0.2104	0.5454
HSPB7	A6NFF2	4	0.2105	0.5453
iPS_A4	A6NFF2	4	0.3495	0.4095
iPS_C10	A6NFF2	4	0.5207	0.2821
iPS_K22	A6NFF2	4	0.1665	0.5600
iPS_P9	A6NFF2	4	0.1999	0.5492
iPS_WTc11	A6NFF2	4	0.2033	0.5480
K22	A6NFF2	4	0.2040	0.5478
P9	A6NFF2	4	0.2663	0.4548
RBM20	A6NFF2	1	0.5152	0.2852
TetOn-BAG3	A6NFF2	4	0.4014	0.3813
iPS_C10	A6NGJ6	4	0.2500	0.4623
A4	A6NGN9	4	0.2500	0.4623
homo+DMSO	A6NGN9	4	0.2500	0.4623
iPS_C10	A6NGN9	4	0.2500	0.4623
TetOn-BAG3	A6NGN9	4	0.2500	0.4623
A4	A6NHQ2	4	0.0400	0.6124
C10	A6NHQ2	4	0.1726	0.5582
homo+Bort	A6NHQ2	4	0.0253	0.6178
homo+DMSO	A6NHQ2	4	0.0375	0.6134
HSPB7	A6NHQ2	4	0.1834	0.5548
iPS_A4	A6NHQ2	4	0.3623	0.4031
iPS_C10	A6NHQ2	4	0.4783	0.3429
iPS_K22	A6NHQ2	4	0.1882	0.5531
iPS_P9	A6NHQ2	4	0.1234	0.5739
iPS_WTc11	A6NHQ2	4	0.2235	0.5398
K22	A6NHQ2	4	0.0358	0.6141
P9	A6NHQ2	4	0.0699	0.5960
TetOn-BAG3	A6NHQ2	4	0.0637	0.6001
A4	A6NI28	4	0.3787	0.3936
C10	A6NI28	4	0.5499	0.2605
homo+Bort	A6NI28	4	0.6166	0.2120
homo+DMSO	A6NI28	4	0.5026	0.2933
HSPB7	A6NI28	4	0.8739	0.0278
iPS_A4	A6NI28	4	0.3741	0.3961
iPS_C10	A6NI28	4	0.4332	0.3638
iPS_K22	A6NI28	4	0.1401	0.5681
iPS_P9	A6NI28	4	0.3490	0.4098
iPS_WTc11	A6NI28	4	0.5964	0.2259
K22	A6NI28	4	0.5005	0.2945
P9	A6NI28	4	0.7145	0.1596
RBM20	A6NI28	1	0.6479	0.1929
TetOn-BAG3	A6NI28	4	0.2903	0.4425
homo+DMSO	A6NND4	4	0.0880	0.5881
iPS_A4	A6NND4	4	0.1106	0.5790
K22	A6NND4	4	0.0609	0.6019
P9	A6NND4	4	0.0634	0.6003
TetOn-BAG3	A6NND4	4	0.0643	0.5997
A4	A6PW82	4	0.2104	0.5454
C10	A6PW82	4	0.1397	0.5683
homo+Bort	A6PW82	4	0.1772	0.5570
homo+DMSO	A6PW82	4	0.2473	0.5279
HSPB7	A6PW82	4	0.0278	0.6171
iPS_A4	A6PW82	4	0.0380	0.6133
iPS_C10	A6PW82	4	0.2470	0.5283
iPS_K22	A6PW82	4	0.0789	0.5917
iPS_P9	A6PW82	4	0.1898	0.5526
iPS_WTc11	A6PW82	4	0.0435	0.6109
K22	A6PW82	4	0.0951	0.5855
P9	A6PW82	4	0.0368	0.6138
TetOn-BAG3	A6PW82	4	0.1793	0.5565
A4	A7KAX9	4	0.6654	0.1841
C10	A7KAX9	4	0.4796	0.3421
homo+Bort	A7KAX9	4	0.4123	0.3751
homo+DMSO	A7KAX9	4	0.1606	0.5619
iPS_A4	A7KAX9	4	0.6249	0.2064
iPS_C10	A7KAX9	4	0.7278	0.1526
iPS_K22	A7KAX9	4	0.7342	0.1500
iPS_P9	A7KAX9	4	0.8077	0.0588
iPS_WTc11	A7KAX9	4	0.4243	0.3689
K22	A7KAX9	4	0.6736	0.1791
P9	A7KAX9	4	0.5343	0.2716
RBM20	A7KAX9	1	0.8047	0.0618
TetOn-BAG3	A7KAX9	4	0.6013	0.2228
HSPB7	A8K8P3	4	0.2500	0.4623
A4	A8MUQ0	4	1.0000	0.0000
C10	A8MUQ0	4	1.0000	0.0000
homo+Bort	A8MUQ0	4	0.7500	0.1017
homo+DMSO	A8MUQ0	4	0.7500	0.1017
iPS_A4	A8MUQ0	4	0.2500	0.4623
iPS_C10	A8MUQ0	4	0.5000	0.2946
K22	A8MUQ0	4	0.7500	0.1017
TetOn-BAG3	A8MUQ0	4	0.7500	0.1017
C10	A8MW99	4	0.2499	0.5199
homo+Bort	A8MW99	4	0.2500	0.4623
iPS_P9	A8MW99	4	0.2499	0.5199
A4	A8MWA4	4	0.2500	0.4623
homo+Bort	A8MWA4	4	0.2500	0.4623
homo+DMSO	A8MWA4	4	0.2500	0.4623
iPS_A4	A8MWA4	4	0.5000	0.2946
iPS_K22	A8MWA4	4	0.5000	0.2946
iPS_P9	A8MWA4	4	0.2500	0.4623
iPS_WTc11	A8MWA4	4	0.5000	0.2946
K22	A8MWA4	4	0.2500	0.4623
P9	A8MWA4	4	0.2500	0.4623
TetOn-BAG3	A8MWA4	4	0.2500	0.4623
A4	B1AJZ9	4	0.1272	0.5729
C10	B1AJZ9	4	0.1405	0.5680
homo+DMSO	B1AJZ9	4	0.1694	0.5591
HSPB7	B1AJZ9	4	0.1829	0.5550
iPS_C10	B1AJZ9	4	0.1439	0.5669
iPS_K22	B1AJZ9	4	0.2098	0.5457
P9	B1AJZ9	4	0.2337	0.5361
TetOn-BAG3	B1AJZ9	4	0.0991	0.5837
HSPB7	B2CW77	4	0.2500	0.4623
iPS_C10	B2CW77	4	0.2500	0.4623
iPS_P9	B2CW77	4	0.5000	0.2946
K22	B2CW77	4	0.2500	0.4623
P9	B2CW77	4	0.5000	0.2946
A4	B2RNN3	4	0.0428	0.6111
iPS_C10	B2RNN3	4	0.0182	0.6199
iPS_P9	B2RNN3	4	0.0088	0.6227
iPS_WTc11	B2RNN3	4	0.0609	0.6019
iPS_WTc11	B4DYI2	4	0.2500	0.4623
C10	B4E2M5	4	0.0876	0.5883
homo+DMSO	B4E2M5	4	0.2497	0.5224
iPS_A4	B4E2M5	4	0.0771	0.5926
K22	B4E2M5	4	0.0501	0.6079
RBM20	B4E2M5	1	1.0000	0.0000
TetOn-BAG3	B4E2M5	4	0.0787	0.5918
homo+DMSO	B5MCY1	4	0.1830	0.5549
HSPB7	B5MCY1	4	0.6189	0.2104
iPS_A4	B5MCY1	4	0.1732	0.5579
iPS_C10	B5MCY1	4	0.2329	0.5363
iPS_K22	B5MCY1	4	0.4268	0.3675
iPS_P9	B5MCY1	4	0.1991	0.5495
K22	B5MCY1	4	0.3577	0.4055
P9	B5MCY1	4	0.3741	0.3961
TetOn-BAG3	B5MCY1	4	0.2119	0.5448
A4	Biognosys|iRT-Kit_WR_fusion	4	0.3300	0.4200
C10	Biognosys|iRT-Kit_WR_fusion	4	0.5144	0.2861
homo+Bort	Biognosys|iRT-Kit_WR_fusion	4	0.4950	0.3332
homo+DMSO	Biognosys|iRT-Kit_WR_fusion	4	0.5627	0.2495
HSPB7	Biognosys|iRT-Kit_WR_fusion	4	0.7144	0.1597
iPS_A4	Biognosys|iRT-Kit_WR_fusion	4	0.3150	0.4287
iPS_C10	Biognosys|iRT-Kit_WR_fusion	4	0.5860	0.2322
iPS_K22	Biognosys|iRT-Kit_WR_fusion	4	0.4821	0.3404
iPS_P9	Biognosys|iRT-Kit_WR_fusion	4	0.5243	0.2792
iPS_WTc11	Biognosys|iRT-Kit_WR_fusion	4	0.5495	0.2607
K22	Biognosys|iRT-Kit_WR_fusion	4	0.3334	0.4183
P9	Biognosys|iRT-Kit_WR_fusion	4	0.5474	0.2625
RBM20	Biognosys|iRT-Kit_WR_fusion	1	0.4682	0.3476
TetOn-BAG3	Biognosys|iRT-Kit_WR_fusion	4	0.4039	0.3794
homo+Bort	C9J442	4	0.2321	0.5366
homo+DMSO	C9J442	4	0.2500	0.4623
HSPB7	C9J442	4	0.2500	0.4623
iPS_A4	C9J442	4	0.2500	0.4623
iPS_C10	C9J442	4	0.2500	0.4623
iPS_P9	C9J442	4	0.2500	0.4623
TetOn-BAG3	C9J442	4	0.2500	0.4623
iPS_A4	O00203	4	0.4938	0.3341
iPS_C10	O00203	4	0.2494	0.5240
iPS_K22	O00203	4	0.2500	0.4623
A4	O00231	4	0.1891	0.5528
C10	O00231	4	0.3424	0.4135
homo+Bort	O00231	4	0.3329	0.4187
homo+DMSO	O00231	4	0.3132	0.4295
HSPB7	O00231	4	0.4174	0.3726
iPS_A4	O00231	4	0.7500	0.1017
iPS_C10	O00231	4	1.0000	0.0000
iPS_K22	O00231	4	0.7820	0.0772
iPS_P9	O00231	4	0.7846	0.0757
iPS_WTc11	O00231	4	0.9999	0.0000
K22	O00231	4	0.2133	0.5442
P9	O00231	4	0.6044	0.2202
TetOn-BAG3	O00231	4	0.0555	0.6053
A4	O00232	4	0.0845	0.5894
C10	O00232	4	0.3490	0.4098
homo+Bort	O00232	4	0.1556	0.5634
homo+DMSO	O00232	4	0.2647	0.4555
HSPB7	O00232	4	0.3693	0.3987
iPS_A4	O00232	4	0.7494	0.1373
iPS_C10	O00232	4	0.9268	0.0094
iPS_K22	O00232	4	0.9456	0.0064
iPS_P9	O00232	4	0.9952	0.0003
iPS_WTc11	O00232	4	0.9970	0.0002
K22	O00232	4	0.0147	0.6208
P9	O00232	4	0.5548	0.2574
TetOn-BAG3	O00232	4	0.0646	0.5995
iPS_A4	O00268	4	0.2500	0.4623
iPS_P9	O00268	4	0.2500	0.4623
A4	O00291	4	0.4159	0.3735
C10	O00291	4	0.5801	0.2365
homo+Bort	O00291	4	0.4604	0.3512
homo+DMSO	O00291	4	0.3573	0.4057
HSPB7	O00291	4	0.2107	0.5452
iPS_A4	O00291	4	0.2436	0.5311
iPS_C10	O00291	4	0.4612	0.3509
iPS_K22	O00291	4	0.3551	0.4066
iPS_P9	O00291	4	0.4352	0.3630
iPS_WTc11	O00291	4	0.3199	0.4258
K22	O00291	4	0.4743	0.3447
P9	O00291	4	0.3405	0.4146
TetOn-BAG3	O00291	4	0.3208	0.4253
A4	O00303	4	0.5000	0.2946
C10	O00303	4	0.2500	0.4623
homo+DMSO	O00303	4	0.2500	0.4623
HSPB7	O00303	4	0.5000	0.2946
iPS_A4	O00303	4	0.7500	0.1017
iPS_C10	O00303	4	1.0000	0.0000
iPS_K22	O00303	4	0.7500	0.1017
iPS_P9	O00303	4	0.7500	0.1017
iPS_WTc11	O00303	4	0.7500	0.1017
K22	O00303	4	0.7500	0.1017
P9	O00303	4	0.5000	0.2946
TetOn-BAG3	O00303	4	0.0050	0.6237
A4	O00305	4	0.0042	0.6239
homo+Bort	O00305	4	0.0631	0.6004
homo+DMSO	O00305	4	0.2354	0.5351
HSPB7	O00305	4	0.1200	0.5750
iPS_C10	O00305	4	0.0673	0.5977
iPS_P9	O00305	4	0.0132	0.6213
A4	O00398	4	0.1511	0.5647
C10	O00398	4	0.1496	0.5651
homo+Bort	O00398	4	0.2399	0.5332
iPS_A4	O00398	4	0.1170	0.5762
RBM20	O00398	1	0.9971	0.0002
A4	O00408	4	0.2500	0.4623
homo+DMSO	O00408	4	0.2500	0.4623
iPS_K22	O00408	4	0.2500	0.4623
K22	O00408	4	0.2500	0.4623
A4	O00479	4	0.3803	0.3927
C10	O00479	4	0.4640	0.3496
homo+Bort	O00479	4	0.3435	0.4130
homo+DMSO	O00479	4	0.2618	0.4571
HSPB7	O00479	4	0.2853	0.4453
iPS_A4	O00479	4	0.0163	0.6204
iPS_C10	O00479	4	0.1370	0.5694
iPS_K22	O00479	4	0.0835	0.5899
iPS_P9	O00479	4	0.0736	0.5944
iPS_WTc11	O00479	4	0.0111	0.6219
K22	O00479	4	0.2399	0.5332
P9	O00479	4	0.4204	0.3711
TetOn-BAG3	O00479	4	0.4317	0.3646
A4	O00483	4	0.6964	0.1683
C10	O00483	4	0.4631	0.3501
homo+Bort	O00483	4	0.5638	0.2489
homo+DMSO	O00483	4	0.6156	0.2127
HSPB7	O00483	4	0.6051	0.2199
iPS_A4	O00483	4	0.0944	0.5858
iPS_C10	O00483	4	0.3012	0.4363
iPS_K22	O00483	4	0.4730	0.3453
iPS_P9	O00483	4	0.4679	0.3478
iPS_WTc11	O00483	4	0.4196	0.3715
K22	O00483	4	0.5934	0.2283
P9	O00483	4	0.5265	0.2772
TetOn-BAG3	O00483	4	0.6966	0.1681
A4	O00487	4	0.3060	0.4337
C10	O00487	4	0.5239	0.2793
homo+Bort	O00487	4	0.4423	0.3596
homo+DMSO	O00487	4	0.4083	0.3773
HSPB7	O00487	4	0.4205	0.3710
iPS_A4	O00487	4	0.6412	0.1972
iPS_C10	O00487	4	0.9148	0.0117
iPS_K22	O00487	4	0.6175	0.2115
iPS_P9	O00487	4	0.7510	0.1006
iPS_WTc11	O00487	4	0.5912	0.2296
K22	O00487	4	0.3538	0.4073
P9	O00487	4	0.5471	0.2628
TetOn-BAG3	O00487	4	0.2364	0.5348
P9	O00555	4	0.2500	0.4623
A4	O00567	4	0.3879	0.3886
C10	O00567	4	0.4053	0.3788
homo+Bort	O00567	4	0.5527	0.2588
homo+DMSO	O00567	4	0.4110	0.3758
HSPB7	O00567	4	0.3982	0.3832
iPS_C10	O00567	4	0.2033	0.5480
iPS_P9	O00567	4	0.2011	0.5488
iPS_WTc11	O00567	4	0.1934	0.5515
K22	O00567	4	0.5702	0.2439
P9	O00567	4	0.3646	0.4013
A4	O00571	4	0.4933	0.3345
C10	O00571	4	0.6276	0.2049
homo+Bort	O00571	4	0.6541	0.1894
homo+DMSO	O00571	4	0.7026	0.1648
HSPB7	O00571	4	0.5045	0.2923
iPS_A4	O00571	4	0.5503	0.2601
iPS_C10	O00571	4	0.7518	0.0994
iPS_K22	O00571	4	0.5291	0.2751
iPS_P9	O00571	4	0.7387	0.1468
iPS_WTc11	O00571	4	0.6806	0.1761
K22	O00571	4	0.7228	0.1551
P9	O00571	4	0.6437	0.1952
RBM20	O00571	1	0.8129	0.0563
TetOn-BAG3	O00571	4	0.6506	0.1921
A4	O14490	4	0.1161	0.5766
C10	O14490	4	0.2785	0.4490
homo+Bort	O14490	4	0.2566	0.4596
homo+DMSO	O14490	4	0.3048	0.4345
HSPB7	O14490	4	0.3824	0.3917
iPS_A4	O14490	4	0.0408	0.6121
iPS_C10	O14490	4	0.2766	0.4499
iPS_K22	O14490	4	0.2821	0.4472
iPS_P9	O14490	4	0.3652	0.4010
iPS_WTc11	O14490	4	0.2983	0.4380
K22	O14490	4	0.0930	0.5863
P9	O14490	4	0.2173	0.5424
TetOn-BAG3	O14490	4	0.2324	0.5365
A4	O14526	4	0.3336	0.4181
C10	O14526	4	0.4013	0.3814
homo+Bort	O14526	4	0.2972	0.4385
homo+DMSO	O14526	4	0.4799	0.3418
iPS_A4	O14526	4	0.0963	0.5849
iPS_C10	O14526	4	0.2500	0.4623
iPS_K22	O14526	4	0.2466	0.5287
iPS_P9	O14526	4	0.0509	0.6074
iPS_WTc11	O14526	4	0.2411	0.5327
P9	O14526	4	0.4975	0.3305
iPS_A4	O14530	4	0.7497	0.1362
iPS_C10	O14530	4	0.7399	0.1460
iPS_K22	O14530	4	0.2500	0.4623
iPS_P9	O14530	4	0.9840	0.0013
iPS_WTc11	O14530	4	0.2812	0.4477
A4	O14548	4	0.2837	0.4465
C10	O14548	4	0.2089	0.5460
homo+Bort	O14548	4	0.2179	0.5420
homo+DMSO	O14548	4	0.2909	0.4423
HSPB7	O14548	4	0.3067	0.4332
iPS_A4	O14548	4	0.2496	0.5233
iPS_C10	O14548	4	0.3604	0.4039
iPS_K22	O14548	4	0.2086	0.5460
iPS_P9	O14548	4	0.3906	0.3874
iPS_WTc11	O14548	4	0.2497	0.5224
K22	O14548	4	0.1658	0.5603
P9	O14548	4	0.1954	0.5508
RBM20	O14548	1	0.9254	0.0095
TetOn-BAG3	O14548	4	0.2704	0.4529
iPS_WTc11	O14569	4	0.2500	0.4623
A4	O14602	4	0.3277	0.4212
C10	O14602	4	0.2678	0.4538
homo+Bort	O14602	4	0.4215	0.3704
homo+DMSO	O14602	4	0.2813	0.4476
HSPB7	O14602	4	0.4777	0.3433
iPS_A4	O14602	4	0.2752	0.4504
iPS_K22	O14602	4	0.3330	0.4185
iPS_WTc11	O14602	4	0.1821	0.5554
K22	O14602	4	0.3555	0.4065
TetOn-BAG3	O14602	4	0.3934	0.3857
C10	O14613	4	0.2500	0.4623
HSPB7	O14613	4	0.5000	0.2946
iPS_A4	O14613	4	0.2500	0.4623
K22	O14613	4	0.4999	0.3244
P9	O14613	4	0.5000	0.2946
homo+Bort	O14617	4	0.2500	0.4623
iPS_A4	O14617	4	0.4021	0.3808
iPS_C10	O14617	4	0.2473	0.5279
iPS_K22	O14617	4	0.2500	0.4623
iPS_WTc11	O14617	4	0.2483	0.5267
A4	O14639	4	0.4298	0.3657
C10	O14639	4	0.5267	0.2770
homo+Bort	O14639	4	0.4730	0.3453
homo+DMSO	O14639	4	0.4208	0.3708
HSPB7	O14639	4	0.4809	0.3411
K22	O14639	4	0.4508	0.3561
P9	O14639	4	0.4778	0.3432
TetOn-BAG3	O14639	4	0.2157	0.5431
A4	O14744	4	0.6227	0.2076
C10	O14744	4	0.6711	0.1807
homo+Bort	O14744	4	0.6152	0.2131
homo+DMSO	O14744	4	0.5896	0.2305
HSPB7	O14744	4	0.7397	0.1462
iPS_A4	O14744	4	0.5953	0.2267
iPS_C10	O14744	4	0.7956	0.0679
iPS_K22	O14744	4	0.7691	0.0871
iPS_P9	O14744	4	0.8030	0.0630
iPS_WTc11	O14744	4	0.7806	0.0778
K22	O14744	4	0.6280	0.2045
P9	O14744	4	0.6997	0.1665
RBM20	O14744	1	0.7424	0.1444
TetOn-BAG3	O14744	4	0.6038	0.2212
A4	O14810	4	0.3283	0.4209
C10	O14810	4	0.2724	0.4520
homo+Bort	O14810	4	0.3087	0.4322
homo+DMSO	O14810	4	0.2551	0.4603
HSPB7	O14810	4	0.2885	0.4438
iPS_A4	O14810	4	0.2593	0.4582
iPS_K22	O14810	4	0.1715	0.5584
iPS_P9	O14810	4	0.1344	0.5703
iPS_WTc11	O14810	4	0.0793	0.5914
K22	O14810	4	0.2394	0.5334
P9	O14810	4	0.3018	0.4361
RBM20	O14810	1	0.9664	0.0038
TetOn-BAG3	O14810	4	0.1781	0.5568
A4	O14818	4	0.2497	0.5224
C10	O14818	4	0.3425	0.4135
homo+Bort	O14818	4	0.3086	0.4322
homo+DMSO	O14818	4	0.0670	0.5979
HSPB7	O14818	4	0.5250	0.2787
iPS_A4	O14818	4	0.7492	0.1380
iPS_C10	O14818	4	0.8972	0.0172
iPS_K22	O14818	4	0.7381	0.1472
iPS_P9	O14818	4	0.8838	0.0231
iPS_WTc11	O14818	4	0.7500	0.1017
P9	O14818	4	0.5000	0.2946
TetOn-BAG3	O14818	4	0.3030	0.4356
C10	O14836	4	0.1788	0.5566
iPS_C10	O14836	4	0.2500	0.4623
iPS_K22	O14836	4	0.0774	0.5925
iPS_P9	O14836	4	0.4100	0.3765
iPS_WTc11	O14836	4	0.4942	0.3337
K22	O14836	4	0.2499	0.5199
TetOn-BAG3	O14836	4	0.0976	0.5843
A4	O14874	4	0.5408	0.2667
C10	O14874	4	0.5576	0.2545
homo+Bort	O14874	4	0.3418	0.4138
homo+DMSO	O14874	4	0.6194	0.2099
HSPB7	O14874	4	0.3581	0.4052
iPS_A4	O14874	4	0.1156	0.5769
iPS_C10	O14874	4	0.1801	0.5562
iPS_K22	O14874	4	0.0365	0.6139
iPS_P9	O14874	4	0.1729	0.5581
iPS_WTc11	O14874	4	0.1853	0.5542
K22	O14874	4	0.6088	0.2173
P9	O14874	4	0.3225	0.4242
TetOn-BAG3	O14874	4	0.2776	0.4494
A4	O14979	4	0.2500	0.4623
C10	O14979	4	0.2500	0.4623
homo+Bort	O14979	4	0.5000	0.2946
homo+DMSO	O14979	4	0.2500	0.4623
iPS_A4	O14979	4	0.2500	0.4623
iPS_C10	O14979	4	0.2500	0.4623
iPS_K22	O14979	4	0.4760	0.3441
iPS_WTc11	O14979	4	0.4983	0.3296
K22	O14979	4	0.0877	0.5882
RBM20	O14979	1	1.0000	0.0000
TetOn-BAG3	O14979	4	0.2500	0.4623
A4	O14980	4	0.6864	0.1734
C10	O14980	4	0.5412	0.2664
homo+Bort	O14980	4	0.5059	0.2911
homo+DMSO	O14980	4	0.3816	0.3921
HSPB7	O14980	4	0.5280	0.2759
iPS_A4	O14980	4	0.4234	0.3693
iPS_C10	O14980	4	0.4971	0.3309
iPS_K22	O14980	4	0.4959	0.3324
iPS_P9	O14980	4	0.1922	0.5518
