Bait	Prey	#Rep	#Pep	AvgP	BFDR
A4	A0A183	4	1	0.2105	0.5831
C10	A0A183	4	1	0.1383	0.6186
homo+DMSO	A0A183	4	1	0.2347	0.5647
HSPB7	A0A183	4	1	0.2335	0.5660
iPS_C10	A0A183	4	1	0.0507	0.6597
iPS_K22	A0A183	4	1	0.3876	0.4235
iPS_P9	A0A183	4	1	0.4281	0.3969
iPS_WTc11	A0A183	4	1	0.4333	0.3933
K22	A0A183	4	1	0.5531	0.2899
P9	A0A183	4	1	0.2345	0.5649
RBM20	A0A183	1	1	0.9612	0.0082
TetOn-BAG3	A0A183	4	1	0.1565	0.6112
A4	A0AVT1	4	1	0.2434	0.5562
homo+Bort	A0AVT1	4	1	0.2439	0.5557
HSPB7	A0AVT1	4	1	0.2490	0.5494
iPS_WTc11	A0AVT1	4	1	0.2400	0.5596
K22	A0AVT1	4	1	0.2490	0.5494
P9	A0AVT1	4	1	0.2387	0.5609
A4	A0PJW8	4	1	0.6708	0.2040
C10	A0PJW8	4	1	0.7877	0.1100
homo+Bort	A0PJW8	4	1	0.6538	0.2175
homo+DMSO	A0PJW8	4	1	0.6086	0.2531
HSPB7	A0PJW8	4	1	0.6679	0.2059
iPS_A4	A0PJW8	4	1	0.7804	0.1140
iPS_C10	A0PJW8	4	1	0.6518	0.2186
iPS_K22	A0PJW8	4	1	0.7410	0.1511
iPS_P9	A0PJW8	4	1	0.8124	0.0960
iPS_WTc11	A0PJW8	4	1	0.4364	0.3914
K22	A0PJW8	4	1	0.6026	0.2559
P9	A0PJW8	4	1	0.6980	0.1832
RBM20	A0PJW8	1	1	0.9045	0.0432
TetOn-BAG3	A0PJW8	4	1	0.6790	0.1985
C10	A1A4G5	4	2	0.0018	0.6687
K22	A1A4G5	4	2	0.0934	0.6426
P9	A1A4G5	4	2	0.1794	0.5999
TetOn-BAG3	A1A4G5	4	2	0.0436	0.6615
A4	A1L390	4	1	0.4679	0.3694
C10	A1L390	4	1	0.4093	0.4105
homo+Bort	A1L390	4	1	0.4828	0.3586
homo+DMSO	A1L390	4	1	0.2499	0.5420
HSPB7	A1L390	4	1	0.2464	0.5529
iPS_A4	A1L390	4	1	0.2500	0.5036
iPS_C10	A1L390	4	1	0.2499	0.5420
iPS_K22	A1L390	4	1	0.2500	0.5036
iPS_P9	A1L390	4	1	0.2428	0.5568
iPS_WTc11	A1L390	4	1	0.2477	0.5515
K22	A1L390	4	1	0.2491	0.5492
P9	A1L390	4	1	0.4155	0.4059
RBM20	A1L390	1	1	0.2793	0.4914
TetOn-BAG3	A1L390	4	1	0.2460	0.5534
A4	A1X283	4	1	0.2499	0.5420
homo+Bort	A1X283	4	1	0.2500	0.5036
iPS_C10	A1X283	4	1	0.2500	0.5036
iPS_P9	A1X283	4	1	0.2500	0.5036
iPS_WTc11	A1X283	4	1	0.2500	0.5036
P9	A1X283	4	1	0.2500	0.5036
TetOn-BAG3	A1X283	4	1	0.2500	0.5036
A4	A2PYH4	4	1	0.0053	0.6682
C10	A2PYH4	4	1	0.1848	0.5973
homo+Bort	A2PYH4	4	1	0.0595	0.6574
homo+DMSO	A2PYH4	4	1	0.0185	0.6667
HSPB7	A2PYH4	4	1	0.1724	0.6027
iPS_A4	A2PYH4	4	1	0.1223	0.6308
iPS_C10	A2PYH4	4	1	0.1011	0.6400
iPS_K22	A2PYH4	4	1	0.0087	0.6678
iPS_P9	A2PYH4	4	1	0.1353	0.6197
iPS_WTc11	A2PYH4	4	1	0.0092	0.6677
K22	A2PYH4	4	1	0.1703	0.6035
P9	A2PYH4	4	1	0.1332	0.6204
RBM20	A2PYH4	1	1	0.6995	0.1816
TetOn-BAG3	A2PYH4	4	1	0.0656	0.6549
C10	A2RUC4	4	1	0.5000	0.3249
homo+Bort	A2RUC4	4	1	0.2500	0.5036
homo+DMSO	A2RUC4	4	1	0.2500	0.5036
HSPB7	A2RUC4	4	1	0.2500	0.5036
iPS_P9	A2RUC4	4	1	0.2500	0.5036
K22	A2RUC4	4	1	0.2500	0.5036
A4	A3KMH1	4	1	0.2500	0.5036
C10	A3KMH1	4	1	0.4999	0.3390
homo+Bort	A3KMH1	4	1	0.2498	0.5450
homo+DMSO	A3KMH1	4	1	0.2499	0.5420
iPS_C10	A3KMH1	4	1	0.2460	0.5534
K22	A3KMH1	4	1	0.2498	0.5450
iPS_A4	A4D0S4	4	1	0.2500	0.5036
iPS_C10	A4D0S4	4	1	0.2500	0.5036
iPS_P9	A4D0S4	4	1	0.2500	0.5036
iPS_WTc11	A4D0S4	4	1	0.2500	0.5036
TetOn-BAG3	A4D0S4	4	1	0.2500	0.5036
A4	A4UGR9	4	4	0.1330	0.6206
C10	A4UGR9	4	4	0.4155	0.4059
homo+Bort	A4UGR9	4	4	0.3111	0.4728
homo+DMSO	A4UGR9	4	4	0.1010	0.6400
HSPB7	A4UGR9	4	4	0.2236	0.5745
iPS_A4	A4UGR9	4	4	0.5659	0.2815
iPS_C10	A4UGR9	4	4	0.2864	0.4877
iPS_K22	A4UGR9	4	4	0.2314	0.5676
iPS_P9	A4UGR9	4	4	0.2328	0.5666
iPS_WTc11	A4UGR9	4	4	0.3418	0.4534
K22	A4UGR9	4	4	0.2081	0.5847
P9	A4UGR9	4	4	0.2535	0.5021
RBM20	A4UGR9	1	4	0.2978	0.4812
TetOn-BAG3	A4UGR9	4	4	0.2199	0.5768
A4	A5D8V7	4	1	0.1660	0.6071
C10	A5D8V7	4	1	0.1641	0.6081
homo+Bort	A5D8V7	4	1	0.2402	0.5593
homo+DMSO	A5D8V7	4	1	0.2873	0.4870
HSPB7	A5D8V7	4	1	0.2450	0.5542
iPS_A4	A5D8V7	4	1	0.1355	0.6196
iPS_C10	A5D8V7	4	1	0.2353	0.5641
iPS_K22	A5D8V7	4	1	0.2526	0.5027
iPS_P9	A5D8V7	4	1	0.1905	0.5941
iPS_WTc11	A5D8V7	4	1	0.1921	0.5931
K22	A5D8V7	4	1	0.2770	0.4928
P9	A5D8V7	4	1	0.4492	0.3824
RBM20	A5D8V7	1	1	0.8459	0.0771
TetOn-BAG3	A5D8V7	4	1	0.1305	0.6213
A4	A6NCN2	4	1	0.1877	0.5956
C10	A6NCN2	4	1	0.4236	0.3994
homo+Bort	A6NCN2	4	1	0.1487	0.6148
HSPB7	A6NCN2	4	1	0.1869	0.5960
iPS_C10	A6NCN2	4	1	0.4117	0.4087
iPS_K22	A6NCN2	4	1	0.2491	0.5492
K22	A6NCN2	4	1	0.2098	0.5835
P9	A6NCN2	4	1	0.2132	0.5815
A4	A6NEC2	4	1	0.3331	0.4591
C10	A6NEC2	4	1	0.3169	0.4689
homo+Bort	A6NEC2	4	1	0.1758	0.6013
homo+DMSO	A6NEC2	4	1	0.3387	0.4549
HSPB7	A6NEC2	4	1	0.1847	0.5973
iPS_C10	A6NEC2	4	1	0.1566	0.6111
iPS_K22	A6NEC2	4	1	0.1782	0.6004
iPS_P9	A6NEC2	4	1	0.1684	0.6044
iPS_WTc11	A6NEC2	4	1	0.1811	0.5991
K22	A6NEC2	4	1	0.3074	0.4751
P9	A6NEC2	4	1	0.1826	0.5983
RBM20	A6NEC2	1	1	0.7333	0.1567
TetOn-BAG3	A6NEC2	4	1	0.1561	0.6114
A4	A6NEE1	4	2	0.1250	0.6232
homo+DMSO	A6NEE1	4	2	0.1250	0.6232
HSPB7	A6NEE1	4	2	0.1250	0.6232
iPS_A4	A6NEE1	4	2	0.2500	0.5036
iPS_C10	A6NEE1	4	2	0.1250	0.6232
iPS_K22	A6NEE1	4	2	0.1250	0.6232
iPS_P9	A6NEE1	4	2	0.1250	0.6232
K22	A6NEE1	4	2	0.1250	0.6232
P9	A6NEE1	4	2	0.1250	0.6232
TetOn-BAG3	A6NEE1	4	2	0.2500	0.5036
A4	A6NEM1	4	1	0.1301	0.6214
C10	A6NEM1	4	1	0.3580	0.4439
P9	A6NEM1	4	1	0.2294	0.5694
A4	A6NFF2	4	1	0.4823	0.3587
homo+Bort	A6NFF2	4	1	0.4658	0.3709
homo+DMSO	A6NFF2	4	1	0.2369	0.5626
HSPB7	A6NFF2	4	1	0.2369	0.5626
iPS_A4	A6NFF2	4	1	0.4362	0.3915
iPS_C10	A6NFF2	4	1	0.6593	0.2128
iPS_K22	A6NFF2	4	1	0.2178	0.5783
iPS_P9	A6NFF2	4	1	0.2328	0.5666
iPS_WTc11	A6NFF2	4	1	0.2341	0.5654
K22	A6NFF2	4	1	0.2344	0.5650
P9	A6NFF2	4	1	0.3932	0.4199
RBM20	A6NFF2	1	1	0.7828	0.1123
TetOn-BAG3	A6NFF2	4	1	0.4660	0.3707
iPS_C10	A6NGJ6	4	1	0.2500	0.5036
A4	A6NGN9	4	1	0.2499	0.5420
homo+DMSO	A6NGN9	4	1	0.2499	0.5420
iPS_C10	A6NGN9	4	1	0.2468	0.5526
TetOn-BAG3	A6NGN9	4	1	0.2494	0.5481
A4	A6NHQ2	4	1	0.1511	0.6136
C10	A6NHQ2	4	1	0.4683	0.3690
homo+Bort	A6NHQ2	4	1	0.1014	0.6398
homo+DMSO	A6NHQ2	4	1	0.1294	0.6217
HSPB7	A6NHQ2	4	1	0.3302	0.4610
iPS_A4	A6NHQ2	4	1	0.4325	0.3937
iPS_C10	A6NHQ2	4	1	0.5961	0.2607
iPS_K22	A6NHQ2	4	1	0.3941	0.4194
iPS_P9	A6NHQ2	4	1	0.2016	0.5881
iPS_WTc11	A6NHQ2	4	1	0.3946	0.4191
K22	A6NHQ2	4	1	0.1535	0.6125
P9	A6NHQ2	4	1	0.1756	0.6015
TetOn-BAG3	A6NHQ2	4	1	0.1687	0.6042
A4	A6NI28	4	10	0.1782	0.6004
C10	A6NI28	4	10	0.4658	0.3709
homo+Bort	A6NI28	4	10	0.4549	0.3787
homo+DMSO	A6NI28	4	10	0.3600	0.4428
HSPB7	A6NI28	4	10	0.6617	0.2108
iPS_A4	A6NI28	4	10	0.1176	0.6335
iPS_C10	A6NI28	4	10	0.2229	0.5750
iPS_K22	A6NI28	4	10	0.0405	0.6623
iPS_P9	A6NI28	4	10	0.2535	0.5021
iPS_WTc11	A6NI28	4	10	0.2641	0.4987
K22	A6NI28	4	10	0.3705	0.4370
P9	A6NI28	4	10	0.6220	0.2441
RBM20	A6NI28	1	10	0.1846	0.5974
TetOn-BAG3	A6NI28	4	10	0.1399	0.6181
homo+DMSO	A6NND4	4	1	0.2428	0.5568
iPS_A4	A6NND4	4	1	0.2037	0.5872
K22	A6NND4	4	1	0.1708	0.6033
P9	A6NND4	4	1	0.1752	0.6018
TetOn-BAG3	A6NND4	4	1	0.1768	0.6010
A4	A6PW82	4	3	0.2008	0.5885
C10	A6PW82	4	3	0.2407	0.5588
homo+Bort	A6PW82	4	3	0.1565	0.6112
homo+DMSO	A6PW82	4	3	0.2137	0.5811
HSPB7	A6PW82	4	3	0.0788	0.6500
iPS_A4	A6PW82	4	3	0.0958	0.6418
iPS_C10	A6PW82	4	3	0.1537	0.6125
iPS_K22	A6PW82	4	3	0.1754	0.6017
iPS_P9	A6PW82	4	3	0.2773	0.4926
iPS_WTc11	A6PW82	4	3	0.1168	0.6339
K22	A6PW82	4	3	0.1618	0.6092
P9	A6PW82	4	3	0.1174	0.6335
TetOn-BAG3	A6PW82	4	3	0.2289	0.5698
A4	A7KAX9	4	3	0.2824	0.4897
C10	A7KAX9	4	3	0.2440	0.5556
homo+Bort	A7KAX9	4	3	0.2254	0.5729
homo+DMSO	A7KAX9	4	3	0.0741	0.6519
iPS_A4	A7KAX9	4	3	0.3030	0.4780
iPS_C10	A7KAX9	4	3	0.2977	0.4814
iPS_K22	A7KAX9	4	3	0.2988	0.4803
iPS_P9	A7KAX9	4	3	0.3555	0.4456
iPS_WTc11	A7KAX9	4	3	0.1583	0.6105
K22	A7KAX9	4	3	0.2843	0.4889
P9	A7KAX9	4	3	0.2309	0.5681
RBM20	A7KAX9	1	3	0.3112	0.4727
TetOn-BAG3	A7KAX9	4	3	0.3014	0.4789
HSPB7	A8K8P3	4	1	0.2500	0.5036
A4	A8MUQ0	4	1	1.0000	0.0000
C10	A8MUQ0	4	1	1.0000	0.0000
homo+Bort	A8MUQ0	4	1	0.7500	0.1355
homo+DMSO	A8MUQ0	4	1	0.7500	0.1355
iPS_A4	A8MUQ0	4	1	0.2500	0.5036
iPS_C10	A8MUQ0	4	1	0.5000	0.3249
K22	A8MUQ0	4	1	0.7498	0.1429
TetOn-BAG3	A8MUQ0	4	1	0.7500	0.1355
C10	A8MW99	4	1	0.2497	0.5462
homo+Bort	A8MW99	4	1	0.2499	0.5420
iPS_P9	A8MW99	4	1	0.2497	0.5462
A4	A8MWA4	4	1	0.2500	0.5036
homo+Bort	A8MWA4	4	1	0.2500	0.5036
homo+DMSO	A8MWA4	4	1	0.2498	0.5450
iPS_A4	A8MWA4	4	1	0.5000	0.3249
iPS_K22	A8MWA4	4	1	0.5000	0.3249
iPS_P9	A8MWA4	4	1	0.2500	0.5036
iPS_WTc11	A8MWA4	4	1	0.5000	0.3249
K22	A8MWA4	4	1	0.2499	0.5420
P9	A8MWA4	4	1	0.2500	0.5036
TetOn-BAG3	A8MWA4	4	1	0.2499	0.5420
A4	B1AJZ9	4	1	0.1933	0.5925
C10	B1AJZ9	4	1	0.2051	0.5862
homo+DMSO	B1AJZ9	4	1	0.2234	0.5746
HSPB7	B1AJZ9	4	1	0.2295	0.5692
iPS_C10	B1AJZ9	4	1	0.2078	0.5848
iPS_K22	B1AJZ9	4	1	0.2391	0.5605
P9	B1AJZ9	4	1	0.2459	0.5535
TetOn-BAG3	B1AJZ9	4	1	0.1576	0.6108
HSPB7	B2CW77	4	1	0.2500	0.5036
iPS_C10	B2CW77	4	1	0.2500	0.5036
iPS_P9	B2CW77	4	1	0.5000	0.3249
K22	B2CW77	4	1	0.2500	0.5036
P9	B2CW77	4	1	0.5000	0.3249
A4	B2RNN3	4	1	0.1223	0.6308
iPS_C10	B2RNN3	4	1	0.0496	0.6603
iPS_P9	B2RNN3	4	1	0.0179	0.6669
iPS_WTc11	B2RNN3	4	1	0.1708	0.6033
iPS_WTc11	B4DYI2	4	1	0.2500	0.5036
C10	B4E2M5	4	1	0.1963	0.5910
homo+DMSO	B4E2M5	4	1	0.2396	0.5599
iPS_A4	B4E2M5	4	1	0.1914	0.5935
K22	B4E2M5	4	1	0.1549	0.6119
RBM20	B4E2M5	1	1	0.9938	0.0007
TetOn-BAG3	B4E2M5	4	1	0.1922	0.5930
homo+DMSO	B5MCY1	4	1	0.2263	0.5724
HSPB7	B5MCY1	4	1	0.7079	0.1744
iPS_A4	B5MCY1	4	1	0.2214	0.5759
iPS_C10	B5MCY1	4	1	0.2450	0.5542
iPS_K22	B5MCY1	4	1	0.4769	0.3625
iPS_P9	B5MCY1	4	1	0.2334	0.5661
K22	B5MCY1	4	1	0.4391	0.3890
P9	B5MCY1	4	1	0.4546	0.3793
TetOn-BAG3	B5MCY1	4	1	0.2381	0.5614
A4	Biognosys|iRT-Kit_WR_fusion	4	25	0.8556	0.0716
C10	Biognosys|iRT-Kit_WR_fusion	4	25	0.9016	0.0446
homo+Bort	Biognosys|iRT-Kit_WR_fusion	4	25	0.9052	0.0422
homo+DMSO	Biognosys|iRT-Kit_WR_fusion	4	25	0.8369	0.0816
HSPB7	Biognosys|iRT-Kit_WR_fusion	4	25	0.9176	0.0355
iPS_A4	Biognosys|iRT-Kit_WR_fusion	4	25	0.8553	0.0722
iPS_C10	Biognosys|iRT-Kit_WR_fusion	4	25	0.9277	0.0299
iPS_K22	Biognosys|iRT-Kit_WR_fusion	4	25	0.8488	0.0769
iPS_P9	Biognosys|iRT-Kit_WR_fusion	4	25	0.9024	0.0444
iPS_WTc11	Biognosys|iRT-Kit_WR_fusion	4	25	0.9069	0.0412
K22	Biognosys|iRT-Kit_WR_fusion	4	25	0.8252	0.0884
P9	Biognosys|iRT-Kit_WR_fusion	4	25	0.9015	0.0448
RBM20	Biognosys|iRT-Kit_WR_fusion	1	25	0.9210	0.0343
TetOn-BAG3	Biognosys|iRT-Kit_WR_fusion	4	25	0.8752	0.0593
homo+Bort	C9J442	4	1	0.2464	0.5529
homo+DMSO	C9J442	4	1	0.2500	0.5036
HSPB7	C9J442	4	1	0.2500	0.5036
iPS_A4	C9J442	4	1	0.2500	0.5036
iPS_C10	C9J442	4	1	0.2499	0.5420
iPS_P9	C9J442	4	1	0.2500	0.5036
TetOn-BAG3	C9J442	4	1	0.2500	0.5036
iPS_A4	O00203	4	1	0.4982	0.3465
iPS_C10	O00203	4	1	0.2493	0.5485
iPS_K22	O00203	4	1	0.2500	0.5036
A4	O00231	4	13	0.2174	0.5786
C10	O00231	4	13	0.2868	0.4875
homo+Bort	O00231	4	13	0.2464	0.5529
homo+DMSO	O00231	4	13	0.3007	0.4791
HSPB7	O00231	4	13	0.1837	0.5979
iPS_A4	O00231	4	13	0.7164	0.1683
iPS_C10	O00231	4	13	0.8886	0.0517
iPS_K22	O00231	4	13	0.5653	0.2821
iPS_P9	O00231	4	13	0.6436	0.2245
iPS_WTc11	O00231	4	13	0.6491	0.2210
K22	O00231	4	13	0.1927	0.5928
P9	O00231	4	13	0.3737	0.4346
TetOn-BAG3	O00231	4	13	0.0551	0.6587
A4	O00232	4	10	0.0601	0.6572
C10	O00232	4	10	0.1663	0.6069
homo+Bort	O00232	4	10	0.0456	0.6611
homo+DMSO	O00232	4	10	0.1293	0.6217
HSPB7	O00232	4	10	0.1270	0.6224
iPS_A4	O00232	4	10	0.5283	0.3083
iPS_C10	O00232	4	10	0.5443	0.2964
iPS_K22	O00232	4	10	0.2641	0.4987
iPS_P9	O00232	4	10	0.3797	0.4286
iPS_WTc11	O00232	4	10	0.3902	0.4218
K22	O00232	4	10	0.0210	0.6660
P9	O00232	4	10	0.2282	0.5706
TetOn-BAG3	O00232	4	10	0.0416	0.6621
iPS_A4	O00268	4	1	0.2500	0.5036
iPS_P9	O00268	4	1	0.2500	0.5036
A4	O00291	4	1	0.5512	0.2912
C10	O00291	4	1	0.7878	0.1098
homo+Bort	O00291	4	1	0.5993	0.2581
homo+DMSO	O00291	4	1	0.4497	0.3821
HSPB7	O00291	4	1	0.3352	0.4567
iPS_A4	O00291	4	1	0.3220	0.4656
iPS_C10	O00291	4	1	0.6919	0.1880
iPS_K22	O00291	4	1	0.5584	0.2875
iPS_P9	O00291	4	1	0.6808	0.1972
iPS_WTc11	O00291	4	1	0.5062	0.3209
K22	O00291	4	1	0.6550	0.2163
P9	O00291	4	1	0.4339	0.3930
TetOn-BAG3	O00291	4	1	0.4743	0.3644
A4	O00303	4	4	0.2500	0.5036
C10	O00303	4	4	0.1667	0.6049
homo+DMSO	O00303	4	4	0.0833	0.6451
HSPB7	O00303	4	4	0.1667	0.6049
iPS_A4	O00303	4	4	0.3333	0.4574
iPS_C10	O00303	4	4	0.4167	0.4038
iPS_K22	O00303	4	4	0.4999	0.3390
iPS_P9	O00303	4	4	0.5000	0.3249
iPS_WTc11	O00303	4	4	0.4165	0.4049
K22	O00303	4	4	0.2500	0.5036
P9	O00303	4	4	0.1667	0.6049
TetOn-BAG3	O00303	4	4	0.0716	0.6527
A4	O00305	4	1	0.0296	0.6645
homo+Bort	O00305	4	1	0.1816	0.5989
homo+DMSO	O00305	4	1	0.2248	0.5733
HSPB7	O00305	4	1	0.2034	0.5874
iPS_C10	O00305	4	1	0.1858	0.5967
iPS_P9	O00305	4	1	0.0761	0.6512
A4	O00398	4	1	0.2124	0.5821
C10	O00398	4	1	0.2121	0.5823
homo+Bort	O00398	4	1	0.2304	0.5686
iPS_A4	O00398	4	1	0.2053	0.5861
RBM20	O00398	1	1	0.9531	0.0119
A4	O00408	4	1	0.2500	0.5036
homo+DMSO	O00408	4	1	0.2500	0.5036
iPS_K22	O00408	4	1	0.2500	0.5036
K22	O00408	4	1	0.2500	0.5036
A4	O00479	4	1	0.5620	0.2846
C10	O00479	4	1	0.5607	0.2859
homo+Bort	O00479	4	1	0.5284	0.3082
homo+DMSO	O00479	4	1	0.3090	0.4739
HSPB7	O00479	4	1	0.3799	0.4285
iPS_A4	O00479	4	1	0.0882	0.6440
iPS_C10	O00479	4	1	0.4672	0.3698
iPS_K22	O00479	4	1	0.2711	0.4954
iPS_P9	O00479	4	1	0.2028	0.5876
iPS_WTc11	O00479	4	1	0.0667	0.6544
K22	O00479	4	1	0.2266	0.5721
P9	O00479	4	1	0.5780	0.2741
TetOn-BAG3	O00479	4	1	0.5617	0.2848
A4	O00483	4	2	0.7406	0.1517
C10	O00483	4	2	0.4267	0.3977
homo+Bort	O00483	4	2	0.4547	0.3791
homo+DMSO	O00483	4	2	0.6570	0.2143
HSPB7	O00483	4	2	0.4503	0.3815
iPS_A4	O00483	4	2	0.0879	0.6442
iPS_C10	O00483	4	2	0.3090	0.4739
iPS_K22	O00483	4	2	0.4231	0.3997
iPS_P9	O00483	4	2	0.4222	0.4005
iPS_WTc11	O00483	4	2	0.3218	0.4658
K22	O00483	4	2	0.5565	0.2882
P9	O00483	4	2	0.4466	0.3845
TetOn-BAG3	O00483	4	2	0.5715	0.2778
A4	O00487	4	4	0.2576	0.5007
C10	O00487	4	4	0.4622	0.3738
homo+Bort	O00487	4	4	0.4251	0.3985
homo+DMSO	O00487	4	4	0.3916	0.4209
HSPB7	O00487	4	4	0.3485	0.4495
iPS_A4	O00487	4	4	0.5645	0.2825
iPS_C10	O00487	4	4	0.6964	0.1841
iPS_K22	O00487	4	4	0.5039	0.3223
iPS_P9	O00487	4	4	0.5471	0.2943
iPS_WTc11	O00487	4	4	0.5326	0.3053
K22	O00487	4	4	0.3516	0.4477
P9	O00487	4	4	0.4416	0.3872
TetOn-BAG3	O00487	4	4	0.2781	0.4922
P9	O00555	4	1	0.2500	0.5036
A4	O00567	4	3	0.1567	0.6111
C10	O00567	4	3	0.2385	0.5610
homo+Bort	O00567	4	3	0.2243	0.5737
homo+DMSO	O00567	4	3	0.1619	0.6091
HSPB7	O00567	4	3	0.1616	0.6092
iPS_C10	O00567	4	3	0.0825	0.6484
iPS_P9	O00567	4	3	0.0788	0.6500
iPS_WTc11	O00567	4	3	0.0805	0.6491
K22	O00567	4	3	0.3058	0.4762
P9	O00567	4	3	0.1541	0.6122
A4	O00571	4	13	0.3384	0.4550
C10	O00571	4	13	0.4402	0.3881
homo+Bort	O00571	4	13	0.3428	0.4529
homo+DMSO	O00571	4	13	0.4602	0.3760
HSPB7	O00571	4	13	0.4083	0.4111
iPS_A4	O00571	4	13	0.3313	0.4604
iPS_C10	O00571	4	13	0.4918	0.3524
iPS_K22	O00571	4	13	0.3803	0.4283
iPS_P9	O00571	4	13	0.5897	0.2656
iPS_WTc11	O00571	4	13	0.3947	0.4191
K22	O00571	4	13	0.5180	0.3149
P9	O00571	4	13	0.3903	0.4218
RBM20	O00571	1	13	0.5527	0.2901
TetOn-BAG3	O00571	4	13	0.3914	0.4212
A4	O14490	4	3	0.1630	0.6086
C10	O14490	4	3	0.1884	0.5953
homo+Bort	O14490	4	3	0.1967	0.5909
homo+DMSO	O14490	4	3	0.2645	0.4985
HSPB7	O14490	4	3	0.2922	0.4844
iPS_A4	O14490	4	3	0.0603	0.6571
iPS_C10	O14490	4	3	0.2003	0.5888
iPS_K22	O14490	4	3	0.1979	0.5903
iPS_P9	O14490	4	3	0.2376	0.5621
iPS_WTc11	O14490	4	3	0.2417	0.5577
K22	O14490	4	3	0.1507	0.6138
P9	O14490	4	3	0.1440	0.6165
TetOn-BAG3	O14490	4	3	0.0764	0.6511
A4	O14526	4	1	0.5813	0.2719
C10	O14526	4	1	0.6142	0.2490
homo+Bort	O14526	4	1	0.3995	0.4164
homo+DMSO	O14526	4	1	0.4627	0.3733
iPS_A4	O14526	4	1	0.2742	0.4942
iPS_C10	O14526	4	1	0.2462	0.5532
iPS_K22	O14526	4	1	0.2330	0.5664
iPS_P9	O14526	4	1	0.1590	0.6102
iPS_WTc11	O14526	4	1	0.2294	0.5694
P9	O14526	4	1	0.5024	0.3234
iPS_A4	O14530	4	4	0.5828	0.2704
iPS_C10	O14530	4	4	0.3316	0.4601
iPS_K22	O14530	4	4	0.1665	0.6066
iPS_P9	O14530	4	4	0.4990	0.3441
iPS_WTc11	O14530	4	4	0.2999	0.4797
A4	O14548	4	1	0.3982	0.4170
C10	O14548	4	1	0.3659	0.4394
homo+Bort	O14548	4	1	0.3459	0.4509
homo+DMSO	O14548	4	1	0.4019	0.4145
HSPB7	O14548	4	1	0.4123	0.4084
iPS_A4	O14548	4	1	0.2385	0.5610
iPS_C10	O14548	4	1	0.6067	0.2542
iPS_K22	O14548	4	1	0.3595	0.4431
iPS_P9	O14548	4	1	0.4383	0.3895
iPS_WTc11	O14548	4	1	0.3454	0.4512
K22	O14548	4	1	0.3396	0.4545
P9	O14548	4	1	0.3832	0.4263
RBM20	O14548	1	1	0.9032	0.0437
TetOn-BAG3	O14548	4	1	0.3296	0.4615
iPS_WTc11	O14569	4	1	0.2500	0.5036
A4	O14602	4	2	0.3325	0.4594
C10	O14602	4	2	0.2009	0.5884
homo+Bort	O14602	4	2	0.4361	0.3916
homo+DMSO	O14602	4	2	0.3287	0.4619
HSPB7	O14602	4	2	0.5123	0.3178
iPS_A4	O14602	4	2	0.2819	0.4901
iPS_K22	O14602	4	2	0.2931	0.4838
iPS_WTc11	O14602	4	2	0.1846	0.5974
K22	O14602	4	2	0.3863	0.4244
TetOn-BAG3	O14602	4	2	0.3906	0.4216
C10	O14613	4	2	0.1250	0.6232
HSPB7	O14613	4	2	0.2500	0.5036
iPS_A4	O14613	4	2	0.1250	0.6232
K22	O14613	4	2	0.2498	0.5450
P9	O14613	4	2	0.2500	0.5036
homo+Bort	O14617	4	2	0.1250	0.6232
iPS_A4	O14617	4	2	0.2468	0.5526
iPS_C10	O14617	4	2	0.1245	0.6289
iPS_K22	O14617	4	2	0.1250	0.6232
iPS_WTc11	O14617	4	2	0.1246	0.6287
A4	O14639	4	3	0.2176	0.5784
C10	O14639	4	3	0.2860	0.4879
homo+Bort	O14639	4	3	0.2932	0.4837
homo+DMSO	O14639	4	3	0.1597	0.6099
HSPB7	O14639	4	3	0.2434	0.5562
K22	O14639	4	3	0.2807	0.4909
P9	O14639	4	3	0.2408	0.5587
TetOn-BAG3	O14639	4	3	0.1424	0.6172
A4	O14744	4	57	0.5919	0.2638
C10	O14744	4	57	0.6689	0.2055
homo+Bort	O14744	4	57	0.5382	0.3007
homo+DMSO	O14744	4	57	0.5705	0.2788
HSPB7	O14744	4	57	0.6664	0.2079
iPS_A4	O14744	4	57	0.6537	0.2176
iPS_C10	O14744	4	57	0.8793	0.0566
iPS_K22	O14744	4	57	0.7718	0.1203
iPS_P9	O14744	4	57	0.8438	0.0786
iPS_WTc11	O14744	4	57	0.7349	0.1557
K22	O14744	4	57	0.6185	0.2461
P9	O14744	4	57	0.7286	0.1600
RBM20	O14744	1	57	0.6273	0.2379
TetOn-BAG3	O14744	4	57	0.5147	0.3166
A4	O14810	4	1	0.4776	0.3617
C10	O14810	4	1	0.5236	0.3115
homo+Bort	O14810	4	1	0.4190	0.4024
homo+DMSO	O14810	4	1	0.3566	0.4450
HSPB7	O14810	4	1	0.3593	0.4432
iPS_A4	O14810	4	1	0.2602	0.4997
iPS_K22	O14810	4	1	0.2159	0.5796
iPS_P9	O14810	4	1	0.3597	0.4429
iPS_WTc11	O14810	4	1	0.1979	0.5903
K22	O14810	4	1	0.3970	0.4177
P9	O14810	4	1	0.4006	0.4157
RBM20	O14810	1	1	0.9246	0.0329
TetOn-BAG3	O14810	4	1	0.2170	0.5789
A4	O14818	4	8	0.1489	0.6147
C10	O14818	4	8	0.1781	0.6005
homo+Bort	O14818	4	8	0.1478	0.6151
